"MCQ300A.Code.or.Value","MCQ300A.Value.Description","MCQ300A.Count","MCQ300A.Cumulative","MCQ300A.Skip.to.Item"
"1","Yes",664,664,NA
"2","No",4177,4841,NA
"7","Refused",0,4841,NA
"9","Don't know",138,4979,NA
".","Missing",4843,9822,NA
