"MSDPTIME.Code.or.Value","MSDPTIME.Value.Description","MSDPTIME.Count","MSDPTIME.Cumulative","MSDPTIME.Skip.to.Item"
"0 to 9.2","Range of Values",1500,1500,NA
".","Missing",656,2156,NA
