"URDOP3LC.Code.or.Value","URDOP3LC.Value.Description","URDOP3LC.Count","URDOP3LC.Cumulative","URDOP3LC.Skip.to.Item"
"0","At or above the detection limit",1923,1923,NA
"1","Below lower detection limit",708,2631,NA
".","Missing",125,2756,NA
