"BIXS898K.Code.or.Value","BIXS898K.Value.Description","BIXS898K.Count","BIXS898K.Cumulative","BIXS898K.Skip.to.Item"
"46.18 to 988.31","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
