"CIQG17B.Code.or.Value","CIQG17B.Value.Description","CIQG17B.Count","CIQG17B.Cumulative","CIQG17B.Skip.to.Item"
"1","Yes",64,64,NA
"2","No",26,90,NA
"7","Refused",0,90,NA
"9","Don't know",1,91,NA
".","Missing",687,778,NA
