"DXXL4A.Code.or.Value","DXXL4A.Value.Description","DXXL4A.Count","DXXL4A.Cumulative","DXXL4A.Skip.to.Item"
"9.84 to 28.39","Range of Values",1734,1734,NA
".","Missing",1164,2898,NA
