"DS2ICARB.Code.or.Value","DS2ICARB.Value.Description","DS2ICARB.Count","DS2ICARB.Cumulative","DS2ICARB.Skip.to.Item"
"0.25 to 64","Range of Values",952,952,NA
".","Missing",4951,5903,NA
