"BPXPULS.Code.or.Value","BPXPULS.Value.Description","BPXPULS.Count","BPXPULS.Cumulative","BPXPULS.Skip.to.Item"
"1","Regular",8736,8736,NA
"2","Irregular",267,9003,NA
".","Missing",279,9282,NA
