"RFXC074.Code.or.Value","RFXC074.Value.Description","RFXC074.Count","RFXC074.Cumulative","RFXC074.Skip.to.Item"
"-7.535 to 4.546","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
