"WBXF035.Code.or.Value","WBXF035.Value.Description","WBXF035.Count","WBXF035.Cumulative","WBXF035.Skip.to.Item"
"1000 to 1000","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
