"DR2TM181.Code.or.Value","DR2TM181.Value.Description","DR2TM181.Count","DR2TM181.Cumulative","DR2TM181.Skip.to.Item"
"0 to 165.762","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
