"DR2TB12A.Code.or.Value","DR2TB12A.Value.Description","DR2TB12A.Count","DR2TB12A.Cumulative","DR2TB12A.Skip.to.Item"
"0 to 40.81","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
