"MCQ260GD.Code.or.Value","MCQ260GD.Value.Description","MCQ260GD.Count","MCQ260GD.Cumulative","MCQ260GD.Skip.to.Item"
"4","Mother's father",40,40,NA
".","Missing",9453,9493,NA
