"MCQ240G.Code.or.Value","MCQ240G.Value.Description","MCQ240G.Count","MCQ240G.Cumulative","MCQ240G.Skip.to.Item"
"2 to 83","Range of Values",23,23,NA
"85","85 years or older",1,24,NA
"77777","Refused",0,24,NA
"99999","Don't know",0,24,NA
".","Missing",9798,9822,NA
