"DEQ2BPFO.Code.or.Value","DEQ2BPFO.Value.Description","DEQ2BPFO.Count","DEQ2BPFO.Cumulative","DEQ2BPFO.Skip.to.Item"
"1","Present",43,43,NA
".","Missing",2949,2992,NA
