"MCQ160B.Code.or.Value","MCQ160B.Value.Description","MCQ160B.Count","MCQ160B.Cumulative","MCQ160B.Skip.to.Item"
"1","Yes",187,187,"MCQ180B"
"2","No",5200,5387,""
"7","Refused",1,5388,""
"9","Don't know",22,5410,""
".","Missing",5060,10470,""
