"SSGI1OD1.Code.or.Value","SSGI1OD1.Value.Description","SSGI1OD1.Count","SSGI1OD1.Cumulative","SSGI1OD1.Skip.to.Item"
"0 to 3.5","Range of Values",1031,1031,NA
".","Missing",5,1036,NA
