"PAXHOUR.Code.or.Value","PAXHOUR.Value.Description","PAXHOUR.Count","PAXHOUR.Cumulative","PAXHOUR.Skip.to.Item"
"0 to 23","Range of Values",74874095,74874095,NA
".","Missing",0,74874095,NA
