"CVDEXCL1.Code.or.Value","CVDEXCL1.Value.Description","CVDEXCL1.Count","CVDEXCL1.Cumulative","CVDEXCL1.Skip.to.Item"
"1","Yes",248,248,NA
"2","No",551,799,NA
".","Missing",3803,4602,NA
