"BIXC050K.Code.or.Value","BIXC050K.Value.Description","BIXC050K.Count","BIXC050K.Cumulative","BIXC050K.Skip.to.Item"
"31.98 to 194.79","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
