"WTSBA30.Code.or.Value","WTSBA30.Value.Description","WTSBA30.Count","WTSBA30.Cumulative","WTSBA30.Skip.to.Item"
"0 to 356116.61975","Range of Values",946,946,NA
".","Missing",65,1011,NA
