"DR1TPFAT.Code.or.Value","DR1TPFAT.Value.Description","DR1TPFAT.Count","DR1TPFAT.Cumulative","DR1TPFAT.Skip.to.Item"
"0 to 164.425","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
