"ORXH40.Code.or.Value","ORXH40.Value.Description","ORXH40.Count","ORXH40.Cumulative","ORXH40.Skip.to.Item"
"1","Positive",1,1,NA
"2","Negative",4723,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
