"OSD030cd.Code.or.Value","OSD030cd.Value.Description","OSD030cd.Count","OSD030cd.Cumulative","OSD030cd.Skip.to.Item"
"43 to 72","Range of Values",3,3,NA
"85","85 or older",0,3,NA
"77777","Refused",0,3,NA
"99999","Don't know",1,4,NA
".","Missing",4975,4979,NA
