"WBXP085.Code.or.Value","WBXP085.Value.Description","WBXP085.Count","WBXP085.Cumulative","WBXP085.Skip.to.Item"
"-171.1988 to 170.0339","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
