"RFXT137.Code.or.Value","RFXT137.Value.Description","RFXT137.Count","RFXT137.Cumulative","RFXT137.Skip.to.Item"
"1194 to 1203","Range of Values",33675,33675,NA
".","Missing",46,33721,NA
