"DRXIS040.Code.or.Value","DRXIS040.Value.Description","DRXIS040.Count","DRXIS040.Cumulative","DRXIS040.Skip.to.Item"
"0 to 8.16","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
