"LBXIN.Code.or.Value","LBXIN.Value.Description","LBXIN.Count","LBXIN.Cumulative","LBXIN.Skip.to.Item"
"0.14 to 682.48","Range of Values",3093,3093,NA
".","Missing",236,3329,NA
