"LBXMC.Code.or.Value","LBXMC.Value.Description","LBXMC.Count","LBXMC.Cumulative","LBXMC.Skip.to.Item"
"28.8 to 39.5","Range of Values",8400,8400,NA
".","Missing",1040,9440,NA
