"LBC178LA.Code.or.Value","LBC178LA.Value.Description","LBC178LA.Count","LBC178LA.Cumulative","LBC178LA.Skip.to.Item"
"0.09899 to 16.62","Range of Values",264,264,NA
".","Missing",1,265,NA
