"LBDRPLSI.Code.or.Value","LBDRPLSI.Value.Description","LBDRPLSI.Count","LBDRPLSI.Cumulative","LBDRPLSI.Skip.to.Item"
"0.007 to 2.538","Range of Values",7885,7885,NA
"0.005","Fill Value of Limit of Detection",168,8053,NA
".","Missing",1209,9262,NA
