"URXMU3.Code.or.Value","URXMU3.Value.Description","URXMU3.Count","URXMU3.Cumulative","URXMU3.Skip.to.Item"
"0.028 to 710","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
