"DSQ128NN.Code.or.Value","DSQ128NN.Value.Description","DSQ128NN.Count","DSQ128NN.Cumulative","DSQ128NN.Skip.to.Item"
"48","TO BUILD MUSCLE",235,235,NA
".","Missing",9324,9559,NA
