"DS2TSUGR.Code.or.Value","DS2TSUGR.Value.Description","DS2TSUGR.Count","DS2TSUGR.Cumulative","DS2TSUGR.Skip.to.Item"
"0.2 to 14","Range of Values",494,494,NA
".","Missing",8844,9338,NA
