"SSBFOAL.Code.or.Value","SSBFOAL.Value.Description","SSBFOAL.Count","SSBFOAL.Cumulative","SSBFOAL.Skip.to.Item"
"0","At or above the detection limit",3,3,NA
"1","Below lower detection limit",2325,2328,NA
".","Missing",0,2328,NA
