"LB2LYPCT.Code.or.Value","LB2LYPCT.Value.Description","LB2LYPCT.Count","LB2LYPCT.Cumulative","LB2LYPCT.Skip.to.Item"
"7.5 to 65.8","Range of Values",551,551,NA
".","Missing",6,557,NA
