"DXXRAA.Code.or.Value","DXXRAA.Value.Description","DXXRAA.Count","DXXRAA.Cumulative","DXXRAA.Skip.to.Item"
"71.97 to 382.31","Range of Values",5347,5347,NA
".","Missing",686,6033,NA
