"DXDSTPF.Code.or.Value","DXDSTPF.Value.Description","DXDSTPF.Count","DXDSTPF.Cumulative","DXDSTPF.Skip.to.Item"
"11.9 to 56.1","Range of Values",5110,5110,NA
".","Missing",923,6033,NA
