"AUXR4KR.Code.or.Value","AUXR4KR.Value.Description","AUXR4KR.Count","AUXR4KR.Cumulative","AUXR4KR.Skip.to.Item"
"25 to 110","Range of Values",12,12,NA
"666","No response",1,13,NA
"888","Could not obtain",0,13,NA
".","Missing",3021,3034,NA
