"MCQ080.Code.or.Value","MCQ080.Value.Description","MCQ080.Count","MCQ080.Cumulative","MCQ080.Skip.to.Item"
"1","Yes",2230,2230,NA
"2","No",4654,6884,NA
"7","Refused",0,6884,NA
"9","Don't know",5,6889,NA
".","Missing",3220,10109,NA
