"BIXC339K.Code.or.Value","BIXC339K.Value.Description","BIXC339K.Count","BIXC339K.Cumulative","BIXC339K.Skip.to.Item"
"7.52 to 144.35","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
