"DR1ICOPP.Code.or.Value","DR1ICOPP.Value.Description","DR1ICOPP.Count","DR1ICOPP.Cumulative","DR1ICOPP.Skip.to.Item"
"0 to 36.017","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
