"FSD670ZC.Code.or.Value","FSD670ZC.Value.Description","FSD670ZC.Count","FSD670ZC.Cumulative","FSD670ZC.Skip.to.Item"
"0 to 72","Range of Values",2951,2951,NA
"777","Refused",1,2952,NA
"999","Don't know",27,2979,NA
".","Missing",7558,10537,NA
