"DSQTMFAT.Code.or.Value","DSQTMFAT.Value.Description","DSQTMFAT.Count","DSQTMFAT.Cumulative","DSQTMFAT.Skip.to.Item"
"0 to 6","Range of Values",100,100,NA
".","Missing",10437,10537,NA
