"DXXNKBMC.Code.or.Value","DXXNKBMC.Value.Description","DXXNKBMC.Count","DXXNKBMC.Cumulative","DXXNKBMC.Skip.to.Item"
"1.46 to 8.59","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
