"WBXF039.Code.or.Value","WBXF039.Value.Description","WBXF039.Count","WBXF039.Cumulative","WBXF039.Skip.to.Item"
"1122.462 to 1122.462","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
