"LBCBR7LA.Code.or.Value","LBCBR7LA.Value.Description","LBCBR7LA.Count","LBCBR7LA.Cumulative","LBCBR7LA.Skip.to.Item"
"2.067 to 90.9","Range of Values",284,284,NA
".","Missing",0,284,NA
