"DRD370E.Code.or.Value","DRD370E.Value.Description","DRD370E.Count","DRD370E.Cumulative","DRD370E.Skip.to.Item"
"1","Yes",130,130,""
"2","No",1897,2027,"DRD370F"
".","Missing",8450,10477,""
