"LBXPFUA.Code.or.Value","LBXPFUA.Value.Description","LBXPFUA.Count","LBXPFUA.Cumulative","LBXPFUA.Skip.to.Item"
"0.07 to 6.96","Range of Values",1904,1904,NA
".","Missing",273,2177,NA
