"DSXRN1.Code.or.Value","DSXRN1.Value.Description","DSXRN1.Count","DSXRN1.Cumulative","DSXRN1.Skip.to.Item"
"0.14 to 3774","Range of Values",6957,6957,NA
".","Missing",2483,9440,NA
