"LBXSGB.Code.or.Value","LBXSGB.Value.Description","LBXSGB.Count","LBXSGB.Cumulative","LBXSGB.Skip.to.Item"
"1.3 to 7.5","Range of Values",6847,6847,NA
".","Missing",522,7369,NA
