"BIXS043K.Code.or.Value","BIXS043K.Value.Description","BIXS043K.Count","BIXS043K.Cumulative","BIXS043K.Skip.to.Item"
"266.18 to 964.92","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
