"PFQ061H.Code.or.Value","PFQ061H.Value.Description","PFQ061H.Count","PFQ061H.Cumulative","PFQ061H.Skip.to.Item"
"1","No difficulty",2234,2234,NA
"2","Some difficulty",294,2528,NA
"3","Much difficulty",78,2606,NA
"4","Unable to do",31,2637,NA
"5","Do not do this activity",14,2651,NA
"7","Refused",0,2651,NA
"9","Don't know",0,2651,NA
".","Missing",6340,8991,NA
