"IMQ070.Code.or.Value","IMQ070.Value.Description","IMQ070.Count","IMQ070.Cumulative","IMQ070.Skip.to.Item"
"1","Yes",348,348,"IMQ090"
"2","No",2149,2497,""
"7","Refused",4,2501,""
"9","Don't know",283,2784,""
".","Missing",7187,9971,""
