"OSQ120e.Code.or.Value","OSQ120e.Value.Description","OSQ120e.Count","OSQ120e.Cumulative","OSQ120e.Skip.to.Item"
"1","Yes",18,18,""
"2","No",6,24,"OSQ060"
"7","Refused",0,24,"OSQ060"
"9","Don't know",0,24,"OSQ060"
".","Missing",4955,4979,""
