"LBDF08LC.Code.or.Value","LBDF08LC.Value.Description","LBDF08LC.Count","LBDF08LC.Cumulative","LBDF08LC.Skip.to.Item"
"0","At or above the detection limit",298,298,NA
"1","Below lower detection limit",1,299,NA
".","Missing",2,301,NA
