"HID040.Code.or.Value","HID040.Value.Description","HID040.Count","HID040.Cumulative","HID040.Skip.to.Item"
"1","Yes",5805,5805,NA
"2","No",2150,7955,NA
"7","Refused",2,7957,NA
"9","Don't know",264,8221,NA
".","Missing",1901,10122,NA
