"MCQ240p.Code.or.Value","MCQ240p.Value.Description","MCQ240p.Count","MCQ240p.Cumulative","MCQ240p.Skip.to.Item"
"18 to 77","Range of Values",41,41,NA
"80","80 years or older",1,42,NA
"77777","Refused",0,42,NA
"99999","Don't know",0,42,NA
".","Missing",9728,9770,NA
