"WBXP030.Code.or.Value","WBXP030.Value.Description","WBXP030.Count","WBXP030.Cumulative","WBXP030.Skip.to.Item"
"-38.2037 to 144.7175","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
