"AUXR6KR.Code.or.Value","AUXR6KR.Value.Description","AUXR6KR.Count","AUXR6KR.Cumulative","AUXR6KR.Skip.to.Item"
"50 to 110","Range of Values",14,14,NA
"666","No response",1,15,NA
"888","Could not obtain",0,15,NA
".","Missing",4485,4500,NA
