"LBDBCOSI.Code.or.Value","LBDBCOSI.Value.Description","LBDBCOSI.Count","LBDBCOSI.Cumulative","LBDBCOSI.Skip.to.Item"
"1.02 to 250.31","Range of Values",3454,3454,NA
".","Missing",156,3610,NA
