"WTSAF2YR.Code.or.Value","WTSAF2YR.Value.Description","WTSAF2YR.Count","WTSAF2YR.Cumulative","WTSAF2YR.Skip.to.Item"
"0 to 337218.92","Range of Values",3581,3581,NA
".","Missing",0,3581,NA
