"DRQSPREP.Code.or.Value","DRQSPREP.Value.Description","DRQSPREP.Count","DRQSPREP.Cumulative","DRQSPREP.Skip.to.Item"
"1","Never",557,557,NA
"2","Rarely",1602,2159,NA
"3","Occasionally",3078,5237,NA
"4","Very Often",3398,8635,NA
"9","Don't know",148,8783,NA
".","Missing",1030,9813,NA
