"LBXSAL.Code.or.Value","LBXSAL.Value.Description","LBXSAL.Count","LBXSAL.Cumulative","LBXSAL.Skip.to.Item"
"2.4 to 5.6","Range of Values",6553,6553,NA
".","Missing",426,6979,NA
